
# Feb  7 14:42 irafspec-3615-56544-0722.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  8661.885  0.314958 -0.500531     1.589 -0.068098     6.905        0.
# Feb  7 14:42 irafspec-3615-56544-0722.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  8861.759 0.2880559 -0.407882     1.416  -0.04605     8.321        0.
# Feb  7 14:42 irafspec-3615-56544-0722.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  9013.265 0.2670769 -0.332176     1.244 -0.037245     8.379        0.
# Feb  7 14:42 irafspec-3615-56544-0722.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  6561.673  0.635027  -1.51754      2.39 -0.194386     7.334        0.
# Feb  7 14:42 irafspec-3615-56544-0722.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  8749.335 0.3090875 -0.549967     1.779 -0.048048     10.75        0.
# Feb  7 14:42 irafspec-3615-56544-0722.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  8541.036 0.3469483 -0.454318     1.309 -0.078951     5.406        0.
# Feb  7 14:42 irafspec-3615-56544-0722.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  8596.881 0.3365064 -0.359209     1.067 -0.033172     10.17        0.
# Feb  7 14:42 irafspec-3615-56544-0722.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  8497.646 0.3592874 -0.350458    0.9754  -0.04899      6.72        0.
