
# Mar 13 15:04 irafspec-0272-51941-0319.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  8503.653  13.65255  -13.3392    0.9771  -2.64332     4.741        0.
# Mar 13 15:04 irafspec-0272-51941-0319.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
   8667.86  13.30032  -24.1799     1.818  -3.97013     5.722        0.
# Mar 13 15:04 irafspec-0272-51941-0319.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  8752.479  1.969123   4017.12    -2040.   11.4623     329.2        0.
# Mar 13 15:04 irafspec-0272-51941-0319.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  8839.008 -61053.39 3.54165E9     INDEF   61066.7    54484.        0.
# Mar 13 15:04 irafspec-0272-51941-0319.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  9026.157  14.63075  -103.454     7.071  -2.84311     34.18        0.
# Mar 13 15:04 irafspec-0272-51941-0319.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  8547.817  13.48528  -30.1997     2.239  -4.37958     6.478        0.
# Mar 13 15:04 irafspec-0272-51941-0319.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  8601.597  13.62269  -1.14775   0.08425 -0.224731     4.798        0.
# Mar 13 15:04 irafspec-0272-51941-0319.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  6508.152 -34.84909   47279.4     INDEF   48.6792     912.4        0.
