
# Mar 12 15:08 irafspec-3767-55214-0173.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
   8753.51  0.267847  -0.09051    0.3379 -0.009947     8.548        0.
# Mar 12 15:08 irafspec-3767-55214-0173.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
   8866.46  0.262271 -0.190104    0.7248 -0.020007     8.926        0.
# Mar 12 15:08 irafspec-3767-55214-0173.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  9017.332 0.2525652 -0.456303     1.807 -0.034318     12.49        0.
# Mar 12 15:08 irafspec-3767-55214-0173.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  8545.018 0.2704221 -0.271392     1.004  -0.05852     4.357        0.
# Mar 12 15:08 irafspec-3767-55214-0173.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  8599.557 0.2711581 -0.083906    0.3094 -0.006797      11.6        0.
# Mar 12 15:08 irafspec-3767-55214-0173.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  6564.815 0.4973021  -1.19667     2.406 -0.220592     5.096        0.
# Mar 12 15:08 irafspec-3767-55214-0173.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
    8500.8 0.2742409   -0.1173    0.4277 -0.026267     4.195        0.
# Mar 12 15:08 irafspec-3767-55214-0173.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  8665.158 0.2692744 -0.235258    0.8737 -0.047893     4.615        0.
