HR,HD,Type,hg,Gband,CaI,CaII,H 3889,BJ
0033,693,F7 V,.201,.135,.062,.505,.188,.084
0077,1581,F9 V,.154,.227,.078,.527,.127,-.058
0120,2726,F2 V,.326,.069,.043,.350,.309,.253
0147,3302,F6 V,.268,.120,.045,.488,.213,.146
0317,6530,Al V,.534,.009,.011,.064,.499,.439
0329,6706,F7 IV,.260,.110,.045,.474,.212,.163
0522,10982,B9.5 V,.519,.009,.017,-.008,.470,.354
0544,11443,F6 IV,.237,.141,.049,.442,.177,.151
0569,11973,F0 V,.378,.069,.055,.301,.327,.329
0578,12140,A6 V,.455,.040,.021,.214,.418,.351
0740,15798,F4 IV,.255,.107,.053,.487,.227,.161
0773,16432,A7 V,.466,.025,.041,.262,.427,.427
0777,16538,F4 V,.229,.133,.052,.497,.200,.118
0859,17943,A7 IV,.449,.040,.030,.294,.411,.371
0925,19107,A8 V,.446,.030,.016,.234,.409,.341
1118,22805,A2 IV,.518,.022,.011,.092,.481,.443
1144,23324,B8 V,.409,.015,.022,-.010,.378,.249
1145,23338,B6 IV,.370,.010,.008,.001,.326,.210
1279,26015,F3 V,.308,.086,.054,.441,.261,.179
1351,27397,A9 IV,.379,.072,.045,.308,.327,.305
SAO 093870,,F9 V,.172,.178,.069,.464,.136,-.047
Duplicate,27808b,F8 V,.200,.148,.100,.448,.159,.006
Duplicate,27836,G1 V,.085,.268,.138,.459,.082,-.087
SAO 076564,,F5 V,.257,.111,.061,.464,.224,.115
SAO 076593b,,F8 V,.206,.194,.089,.439,.160,-.022
1543,30652,F6 V,.232,.124,.073,.388,.205,.119
1892,37018,B1 V,.221,.007,.013,.018,.183,-.145
1931,37468,09.5 V,.169,-.004,.009,.010,.133,-.217
2107,40535,F2 IV,.379,.058,.034,.421,.342,.335
5953,143275,B0 IV,.205,.003,-.004,.003,.160,-.161
5993,144470,B1 V,.221,.008,-.003,.020,.183,-.127
6165,149438,B0 V,.206,.004,.006,.005,.159,-.215
6212,150680,G0 IV,.140,.271,.092,.529,.081,-.036
6655,162570,A9 V,.387,.054,.045,.229,.355,.405
6955,170878,A2 V,.476,.027,.029,.104,.440,.468
6962,171130,A2 V,.555,.003,.012,.081,.504,.379
7121,175191,B2.5 V,.293,.004,.005,.012,.259,-.002
7557,187642,A7 IV-V,.420,.037,.030,.259,.377,.320
7906,196867,B9 IV,.473,.012,.007,.030,.435,.364
8622,214680,09 V,.172,-.005,-.020,.011,.118,-.187
8728,216956,A3 V,.501,.028,.027,.136,.461,.375
