
# Feb  8 17:21 irafspec-0266-51630-0015.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  8870.076  8.992266  -6.87093    0.7641 -0.819324     7.878        0.
# Feb  8 17:21 irafspec-0266-51630-0015.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  8757.749  9.672275   -15.239     1.576  -1.04741     13.67        0.
# Feb  8 17:21 irafspec-0266-51630-0015.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  6568.418  14.91452  -20.9018     1.401  -2.86651      6.85        0.
# Feb  8 17:21 irafspec-0266-51630-0015.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  8670.898  9.718213  -9.30415    0.9574  -1.18552     7.373        0.
# Feb  8 17:21 irafspec-0266-51630-0015.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  8507.536  9.963344  -4.61647    0.4633 -0.473153     9.166        0.
# Feb  8 17:21 irafspec-0266-51630-0015.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  8551.254  9.889949  -9.26478    0.9368 -0.966191     9.008        0.
# Feb  8 17:21 irafspec-0266-51630-0015.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  9022.701   9.11401  -23.1662     2.542  -1.39783     15.57        0.
# Feb  8 17:21 irafspec-0266-51630-0015.fits - Ap 1: 
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  8604.996   9.94574  -14.0462     1.412 -0.831272     15.87        0.
